date,time_15min,direction,sensor,vph_raw
0502,13:00,Northbound,matrix,4294.4
0502,13:15,Northbound,matrix,4257.9
0502,13:30,Northbound,matrix,
0502,13:45,Northbound,matrix,3980.9
0502,14:00,Northbound,matrix,3974.5
0502,14:15,Northbound,matrix,4075.9
0502,14:30,Northbound,matrix,4110.7
0502,14:45,Northbound,matrix,4083.8
0502,15:00,Northbound,matrix,4037.9
0502,15:15,Northbound,matrix,3972.3
0502,15:30,Northbound,matrix,
0502,15:45,Northbound,matrix,
0502,16:00,Northbound,matrix,3788.6
0502,16:15,Northbound,matrix,4032.0
0502,16:30,Northbound,matrix,4048.0
0502,16:45,Northbound,matrix,3823.8
0502,17:00,Northbound,matrix,4291.2
0502,17:15,Northbound,matrix,3695.1
0502,17:30,Northbound,matrix,3656.6
0502,17:45,Northbound,matrix,3797.2
